title,uploader,episode_day,url,frame_namefile,words,result,clue,explanation,solution
La Ghigliottina - L'EreditÃ  14/04/2024',Rai,14/04/2024,https://www.youtube.com/watch?v=02BNQyR4AEc,14-04-2024.jpg,"SPIAGGIA,DAVANTI,FORZA,LINEA,CARLO,23.750","```json
{
  ""clue"": [
    ""spiaggia"",
    ""davanti"",
    ""forza"",
    ""linea"",
    ""Carlo""
  ],
  ""explanation"": [
    ""Spiaggia: 'Ultima spiaggia' (l'ultima salvezza o occasione)"",
    ""Davanti: Chiedere chi è l'ultimo quando si è in coda, quindi si guarda chi è 'davanti' o chi è l'ultimo."",
    ""Forza: Collegamento al plurale 'ultime forze' o 'Ultima forza'."",
    ""Linea: Tracciare 'l'ultima linea' (es. ultima linea di difesa)."",
    ""Carlo: Riferimento alla serie TV 'Vita da Carlo' (e il gioco della lettura della mano, linea della vita).""
  ],
  ""solution"": ""vita""
}
```","['spiaggia', 'davanti', 'forza', 'linea', 'Carlo']","[""Spiaggia: 'Ultima spiaggia' (l'ultima salvezza o occasione)"", ""Davanti: Chiedere chi è l'ultimo quando si è in coda, quindi si guarda chi è 'davanti' o chi è l'ultimo."", ""Forza: Collegamento al plurale 'ultime forze' o 'Ultima forza'."", ""Linea: Tracciare 'l'ultima linea' (es. ultima linea di difesa)."", ""Carlo: Riferimento alla serie TV 'Vita da Carlo' (e il gioco della lettura della mano, linea della vita).""]",VITA
La Ghigliottina - L'EreditÃ  13/04/2024',Rai,13/04/2024,https://www.youtube.com/watch?v=eH92Ts-4OJM,13-04-2024.jpg,"VERDE,MEDIO,POLARE,PRIGIONE,AZIONE,23.750","```json
{
  ""clue"": [""VERDE"", ""MEDIO"", ""POLARE"", ""PRIGIONE"", ""AZIONE""],
  ""explanation"": [
  ""Raggio verde: un fenomeno atmosferico poco prima che il sole sorga o tramonti."",
  ""Raggio medio: raggio d'azione, per esempio di una linea o di un aeroplano."",
  ""Raggio polare: insieme al raggio equatoriale, è il raggio della Terra."",
  ""Raggio di una prigione: si può chiamare braccio o raggio (di una prigione)."",
  ""Raggio d'azione: lo spazio entro cui c'è effetto di un'azione o di una zona di influenza/competenza.""
  ],
  ""solution"": ""RAGGIO""
}
```","['VERDE', 'MEDIO', 'POLARE', 'PRIGIONE', 'AZIONE']","['Raggio verde: un fenomeno atmosferico poco prima che il sole sorga o tramonti.', ""Raggio medio: raggio d'azione, per esempio di una linea o di un aeroplano."", 'Raggio polare: insieme al raggio equatoriale, è il raggio della Terra.', 'Raggio di una prigione: si può chiamare braccio o raggio (di una prigione).', ""Raggio d'azione: lo spazio entro cui c'è effetto di un'azione o di una zona di influenza/competenza.""]",RAGGIO
La Ghigliottina - L'EreditÃ  12/04/2024',Rai,12/04/2024,https://www.youtube.com/watch?v=X8sPGtkerkw,12-04-2024.jpg,"SOTTO,OGGETTO,TESTO,SOMMARIO,STATO,25.000","```json
{
  ""clue"": [
    ""SOTTO"",
    ""OGGETTO"",
    ""TESTO"",
    ""SOMMARIO"",
    ""STATO""
  ],
  ""explanation"": [
    ""Sotto esame"",
    ""L'oggetto di un esame"",
    ""Il testo di un esame / un testo d'esame"",
    ""Il sommario di un esame / sommario di un esame (sillabus)"",
    ""L'esame di Stato""
  ],
  ""solution"": ""ESAME""
}
```","['SOTTO', 'OGGETTO', 'TESTO', 'SOMMARIO', 'STATO']","['Sotto esame', ""L'oggetto di un esame"", ""Il testo di un esame / un testo d'esame"", 'Il sommario di un esame / sommario di un esame (sillabus)', ""L'esame di Stato""]",ESAME
La Ghigliottina - L'EreditÃ  11/04/2024',Rai,11/04/2024,https://www.youtube.com/watch?v=7uK1QjUwzSg,11-04-2024.jpg,"PLASTICA,BELLA,TRAFFICO,SMERALDO,FELICE,11.875","```json
{
  ""clue"": [
    ""plastica"",
    ""bella"",
    ""traffico"",
    ""smeraldo"",
    ""felice""
  ],
  ""explanation"": [
    ""oasi di plastica è l'isola prodotta dall'inquinamento che sta nel Pacifico"",
    ""isola bella sta nel Lago Maggiore e anche di fronte a ormina"",
    ""l'isola dove le auto non possono passare (parte della strada dove le auto non possono passare)"",
    ""isola verde o isola smeraldo (per l'Irlanda)"",
    ""un'isola felice è il tuo divano lì con i libri per stare isolata da tutto""
  ],
  ""solution"": ""isola""
}
```","['plastica', 'bella', 'traffico', 'smeraldo', 'felice']","[""oasi di plastica è l'isola prodotta dall'inquinamento che sta nel Pacifico"", 'isola bella sta nel Lago Maggiore e anche di fronte a ormina', ""l'isola dove le auto non possono passare (parte della strada dove le auto non possono passare)"", ""isola verde o isola smeraldo (per l'Irlanda)"", ""un'isola felice è il tuo divano lì con i libri per stare isolata da tutto""]",ISOLA
La Ghigliottina - L'EreditÃ  10/04/2024',Rai,10/04/2024,https://www.youtube.com/watch?v=7bKO5TZahDM,10-04-2024.jpg,"FUORI,PRENDERE,DEBOLE,PUNTA,REGISTRO,85.000","```json
{
  ""clue"": [""FUORI"", ""PRENDERE"", ""DEBOLE"", ""PUNTA"", ""REGISTRO""],
  ""explanation"": [
  ""Si dice 'fuori forma' (contrario di in forma)."",
  ""Si dice 'prendere forma' (qualcosa che hai immaginato o sognato prende forma)."",
  ""Si dice 'forma debole' (riferito a una malattia)."",
  ""Una forma può essere a punta (la forma è a punta)."",
  ""Si canta 'di petto o di testa', e 'petto' è legato al registro vocale.""
  ],
  ""solution"": ""PETTO""
}
```","['FUORI', 'PRENDERE', 'DEBOLE', 'PUNTA', 'REGISTRO']","[""Si dice 'fuori forma' (contrario di in forma)."", ""Si dice 'prendere forma' (qualcosa che hai immaginato o sognato prende forma)."", ""Si dice 'forma debole' (riferito a una malattia)."", 'Una forma può essere a punta (la forma è a punta).', ""Si canta 'di petto o di testa', e 'petto' è legato al registro vocale.""]",PETTO
La Ghigliottina - L'EreditÃ  09/04/2024',Rai,09/04/2024,https://www.youtube.com/watch?v=19slsrsQAj4,09-04-2024.jpg,"DISCO,BASSO,CHIARO,TASCA,BAGNO,42.500","```json
{
  ""clue"": [
    ""DISCO"",
    ""BASSO"",
    ""CHIARO"",
    ""TASCA"",
    ""BAGNO""
  ],
  ""explanation"": [
    ""Il sole è un disco nel cielo."",
    ""Sole basso all'orizzonte quello che un po' acceca a volte."",
    ""Chiaro come il sole."",
    ""Avere il sole in tasca, cioè avere ottimismo guardare la vita con occhi positivi (viene menzionata l'espressione 'avere il sole in tasca' in relazione all'oro, ma poi la soluzione viene collegata al sole)."",
    ""Bagno di sole.""
  ],
  ""solution"": ""SOLE""
}
```","['DISCO', 'BASSO', 'CHIARO', 'TASCA', 'BAGNO']","['Il sole è un disco nel cielo.', ""Sole basso all'orizzonte quello che un po' acceca a volte."", 'Chiaro come il sole.', ""Avere il sole in tasca, cioè avere ottimismo guardare la vita con occhi positivi (viene menzionata l'espressione 'avere il sole in tasca' in relazione all'oro, ma poi la soluzione viene collegata al sole)."", 'Bagno di sole.']",SOLE
La Ghigliottina - L'EreditÃ  08/04/2024',Rai,08/04/2024,https://www.youtube.com/watch?v=A0N6yOyNLas,08-04-2024.jpg,"SCIENTIFICO,LEGGE,FATTO,DIRITTO,FALSO,85.U00","```json
{
  ""clue"": [
    ""SCIENTIFICO"",
    ""LEGGE"",
    ""FATTO"",
    ""DIRITTO"",
    ""FALSO""
  ],
  ""explanation"": [
    ""Nome scientifico (es. Homo Sapiens)"",
    ""Nome della legge"",
    ""Nome di fatto (si dice di nome e di fatto)"",
    ""Nome di diritto (ciascuno ha diritto al proprio nome)"",
    ""Falso nome (es. sotto copertura o sui social)""
  ],
  ""solution"": ""NOME""
}
```","['SCIENTIFICO', 'LEGGE', 'FATTO', 'DIRITTO', 'FALSO']","['Nome scientifico (es. Homo Sapiens)', 'Nome della legge', 'Nome di fatto (si dice di nome e di fatto)', 'Nome di diritto (ciascuno ha diritto al proprio nome)', 'Falso nome (es. sotto copertura o sui social)']",NOME
La Ghigliottina - L'EreditÃ  07/04/2024',Rai,07/04/2024,https://www.youtube.com/watch?v=Ah5xPsnm-QY,07-04-2024.jpg,"POVERO,ACQUA,PROFESSORE,GABRIELLA CARLUCCI,FARINA,40.000","```json
{
  ""clue"": [
    ""POVERO"",
    ""ACQUA"",
    ""PROFESSORE"",
    ""GABRIELLA CARLUCCI"",
    ""FARINA""
  ],
  ""explanation"": [
    ""Povero cocco è un'esclamazione scherzosa quando si vuole un po' compatire qualcuno."",
    ""Acqua di cocco è il liquido che si trova all'interno delle noci di cocco."",
    ""Cocco del professore quando qualcuno (gli altri) dice che sia un prediletto."",
    ""Gabriella Carlucci ha presentato un programma televisivo su Rai 2 intitolato 'Cocco'."",
    ""Farina di cocco si ricava dalla polpa della noce di cocco.""
  ],
  ""solution"": ""COCCO""
}
```","['POVERO', 'ACQUA', 'PROFESSORE', 'GABRIELLA CARLUCCI', 'FARINA']","[""Povero cocco è un'esclamazione scherzosa quando si vuole un po' compatire qualcuno."", ""Acqua di cocco è il liquido che si trova all'interno delle noci di cocco."", 'Cocco del professore quando qualcuno (gli altri) dice che sia un prediletto.', ""Gabriella Carlucci ha presentato un programma televisivo su Rai 2 intitolato 'Cocco'."", 'Farina di cocco si ricava dalla polpa della noce di cocco.']",COCCO
La Ghigliottina - L'EreditÃ  06/04/2024',Rai,06/04/2024,https://www.youtube.com/watch?v=YFyBvKJjcIU,06-04-2024.jpg,"SECONDO,CORSA,DIVIETO,COTTURA,NOBILE,47.500","```json
{
  ""clue"": [
    ""SECONDO"",
    ""CORSA"",
    ""DIVIETO"",
    ""COTTURA"",
    ""NOBILE""
  ],
  ""explanation"": [
    ""il secondo piano (riferimento al piano nobile, ma la spiegazione data si concentra sul 'secondo')"",
    ""corsa in piano"",
    ""divieto di andare piano (velocità minima, anche se debolmente collegato)"",
    ""a fine cottura (il sale va messo dopo la cottura)"",
    ""il piano nobile dei palazzi patrizi""
  ],
  ""solution"": ""FINE""
}
```","['SECONDO', 'CORSA', 'DIVIETO', 'COTTURA', 'NOBILE']","[""il secondo piano (riferimento al piano nobile, ma la spiegazione data si concentra sul 'secondo')"", 'corsa in piano', 'divieto di andare piano (velocità minima, anche se debolmente collegato)', 'a fine cottura (il sale va messo dopo la cottura)', 'il piano nobile dei palazzi patrizi']",FINE
La Ghigliottina - L'EreditÃ  05/04/2024',Rai,05/04/2024,https://www.youtube.com/watch?v=0EuQWN0ZVec,05-04-2024.jpg,"PARLATO,VERO,OLIO,GRUPPO,SUO PADRE,25.000","```json
{
  ""clue"": [""PARLATO"", ""VERO"", ""OLIO"", ""GRUPPO"", ""SUO PADRE""],
  ""explanation"": [
    ""ritratto parlato: una descrizione di una persona, come nell'identikit."",
    ""ritratto dal vero: descrizione o rappresentazione fedele alla realtà o a un modello."",
    ""ritratto ad olio: tecnica pittorica."",
    ""ritratto di gruppo: come una foto di classe."",
    ""ritratto di suo padre: riferimento al fatto che il concorrente assomiglia al padre.""
  ],
  ""solution"": ""RITRATTO""
}
```","['PARLATO', 'VERO', 'OLIO', 'GRUPPO', 'SUO PADRE']","[""ritratto parlato: una descrizione di una persona, come nell'identikit."", 'ritratto dal vero: descrizione o rappresentazione fedele alla realtà o a un modello.', 'ritratto ad olio: tecnica pittorica.', 'ritratto di gruppo: come una foto di classe.', 'ritratto di suo padre: riferimento al fatto che il concorrente assomiglia al padre.']",RITRATTO
La Ghigliottina - L'EreditÃ  04/04/2024',Rai,04/04/2024,https://www.youtube.com/watch?v=ltXLhSkIsw4,04-04-2024.jpg,"SALUTI,MODI,MAESTRA,WEST,ROSSO,12.500","```json
{
  ""clue"": [""SALUTI"", ""MODI"", ""MAESTRA"", ""WEST"", ""ROSSO""],
  ""explanation"": [
    ""Passare ai saluti (si usa no passiamo ai saluti)"",
    ""Passare a modi (passare a modi più cattivi, più robusti, più decisi)"",
    ""Signora maestra (come la chiamavi maestra? Scusi signora, signora maestra)"",
    ""La signora del West (mi fa pensare a West and Soda, la signora del West è stato un telefilm)"",
    ""La signora in rosso (The Woman in Red)""
  ],
  ""solution"": ""SIGNORA""
}
```","['SALUTI', 'MODI', 'MAESTRA', 'WEST', 'ROSSO']","['Passare ai saluti (si usa no passiamo ai saluti)', 'Passare a modi (passare a modi più cattivi, più robusti, più decisi)', 'Signora maestra (come la chiamavi maestra? Scusi signora, signora maestra)', 'La signora del West (mi fa pensare a West and Soda, la signora del West è stato un telefilm)', 'La signora in rosso (The Woman in Red)']",SIGNORA
La Ghigliottina - L'EreditÃ  03/04/2024',Rai,03/04/2024,https://www.youtube.com/watch?v=aaJKQiQgm-U,03-04-2024.jpg,"BELLEZZA,PRIMO,BOCCA,CERA,ANNI,45.000","```json
{
  ""clue"": [""BELLEZZA"", ""PRIMO"", ""BOCCA"", ""CERA"", ""ANNI""],
  ""explanation"": [
  ""Il fiore è una bellezza, la bellezza del fiore, nel fiore della bellezza."",
  ""Il primo fiore è il mosto che si ottiene dalla spremitura dell'uva, prendendo solo la parte migliore."",
  ""Il fiore in bocca quando uno è contento, o l'uomo dal fiore in bocca di Pirandello."",
  ""Fiore di cera è una pianta rampicante."",
  ""Fiore degli anni (il fiore in bocca è citato anche in relazione agli anni, concludendo con 'fiore degli anni').""
  ],
  ""solution"": ""FIORE""
}
```","['BELLEZZA', 'PRIMO', 'BOCCA', 'CERA', 'ANNI']","['Il fiore è una bellezza, la bellezza del fiore, nel fiore della bellezza.', ""Il primo fiore è il mosto che si ottiene dalla spremitura dell'uva, prendendo solo la parte migliore."", ""Il fiore in bocca quando uno è contento, o l'uomo dal fiore in bocca di Pirandello."", 'Fiore di cera è una pianta rampicante.', ""Fiore degli anni (il fiore in bocca è citato anche in relazione agli anni, concludendo con 'fiore degli anni').""]",FIORE
La Ghigliottina - L'EreditÃ  02/04/2024',Rai,02/04/2024,https://www.youtube.com/watch?v=lz6PgMOWTyc,02-04-2024.jpg,"PUBBLICO,ITALIANA,INVERNO,OLTRE,SALOTTO,180.000","```json
{
  ""clue"": [
    ""PUBBLICO"",
    ""ITALIANA"",
    ""INVERNO"",
    ""OLTRE"",
    ""SALOTTO""
  ],
  ""explanation"": [
    ""Il pubblico a casa è quello che ci sta seguendo."",
    ""La casa italiana è la casa dove tutti quanti ci sentiamo a nostro agio."",
    ""L'inverno si sta a casa, fa freddo, si sta più a casa."",
    ""Oltre la siepe o oltre la casa (riferimento a un film, 'Oltre la siepe', o al concetto di andare oltre la casa)."",
    ""Il salotto di casa o il salotto da giardino (mobile del giardino).""
  ],
  ""solution"": ""GIARDINO""
}
```","['PUBBLICO', 'ITALIANA', 'INVERNO', 'OLTRE', 'SALOTTO']","['Il pubblico a casa è quello che ci sta seguendo.', 'La casa italiana è la casa dove tutti quanti ci sentiamo a nostro agio.', ""L'inverno si sta a casa, fa freddo, si sta più a casa."", ""Oltre la siepe o oltre la casa (riferimento a un film, 'Oltre la siepe', o al concetto di andare oltre la casa)."", 'Il salotto di casa o il salotto da giardino (mobile del giardino).']",GIARDINO
La Ghigliottina - L'EreditÃ  01/04/2024',Rai,01/04/2024,https://www.youtube.com/watch?v=aC5XMKG4CLQ,01-04-2024.jpg,"PARI,MoTIVI,IDEE,FINALE,GALASSIE,50.Uuu","```json
{
  ""clue"": [""PARI"", ""MOTIVI"", ""IDEE"", ""FINALE"", ""GALASSIE""],
  ""explanation"": [
    ""Uno scontro alla pari."",
    ""Motivi di scontro (alla radice di uno scontro ci sono sempre dei motivi)."",
    ""Uno scontro d'idee."",
    ""Scontro finale."",
    ""Scontro di galassie.""
  ],
  ""solution"": ""SCONTRO""
}
```","['PARI', 'MOTIVI', 'IDEE', 'FINALE', 'GALASSIE']","['Uno scontro alla pari.', 'Motivi di scontro (alla radice di uno scontro ci sono sempre dei motivi).', ""Uno scontro d'idee."", 'Scontro finale.', 'Scontro di galassie.']",SCONTRO
La Ghigliottina - L'EreditÃ  30/03/2024',Rai,30/03/2024,https://www.youtube.com/watch?v=AWcoczxFRF0,30-03-2024.jpg,"CALORE,TRENO,GHIACCIO,VETRO,CLOWN,95.000","```json
{
  ""clue"": [
    ""calore"",
    ""treno"",
    ""ghiaccio"",
    ""vetro"",
    ""clown""
  ],
  ""explanation"": [
    ""Il calore bianco si usa nel linguaggio giornalistico per indicare quando i corpi arrivano a una temperatura per cui diventano di colore bianco."",
    ""Il treno bianco è associato al colore bianco."",
    ""Il ghiaccio secco produce una specie di fumo o vapore che viene associato al colore bianco."",
    ""Il vetro comune (quello che sta in tutte le case in tutti gli uffici) può essere chiamato vetro bianco."",
    ""Il clown bianco mette il fondotinta bianco.""
  ],
  ""solution"": ""bianco""
}
```","['calore', 'treno', 'ghiaccio', 'vetro', 'clown']","['Il calore bianco si usa nel linguaggio giornalistico per indicare quando i corpi arrivano a una temperatura per cui diventano di colore bianco.', 'Il treno bianco è associato al colore bianco.', 'Il ghiaccio secco produce una specie di fumo o vapore che viene associato al colore bianco.', 'Il vetro comune (quello che sta in tutte le case in tutti gli uffici) può essere chiamato vetro bianco.', 'Il clown bianco mette il fondotinta bianco.']",BIANCO
La Ghigliottina - L'EreditÃ  29/03/2024',Rai,29/03/2024,https://www.youtube.com/watch?v=JnZ_fVCDXkM,29-03-2024.jpg,"TEMPO,ABITO,RETE,TESSUTO,BELLO,47.500","```json
{
  ""clue"": [
    ""TEMPO"",
    ""ABITO"",
    ""RETE"",
    ""TESSUTO"",
    ""BELLO""
  ],
  ""explanation"": [
    ""pallone meteorologico (per il tempo)"",
    ""abito a pallone (o abito a sacco)"",
    ""il pallone finisce in fondo al sacco (che sarebbe la rete)"",
    ""un sacco di tessuto (o pallone di stracci/cuoio è tessuto)"",
    ""un bel pallone""
  ],
  ""solution"": ""SACCO""
}
```","['TEMPO', 'ABITO', 'RETE', 'TESSUTO', 'BELLO']","['pallone meteorologico (per il tempo)', 'abito a pallone (o abito a sacco)', 'il pallone finisce in fondo al sacco (che sarebbe la rete)', 'un sacco di tessuto (o pallone di stracci/cuoio è tessuto)', 'un bel pallone']",SACCO
La Ghigliottina - L'EreditÃ  28/03/2024',Rai,28/03/2024,https://www.youtube.com/watch?v=mAnOB7XokEY,28-03-2024.jpg,"BAMBINI,CORTE,DANZA,MASSIMO,TENDA,21.250","```json
{
  ""clue"": [""BAMBINI"", ""CORTE"", ""DANZA"", ""MASSIMO"", ""TENDA""],
  ""explanation"": [
    ""Portiamo i bambini al teatro, ci sono anche teatri per bambini."",
    ""Anticamente c'era il teatro di corte."",
    ""La danza è una delle arti del teatro / una forma di rappresentazione teatrale."",
    ""Il Teatro Massimo è il nome di un teatro."",
    ""Tenda è stato un grande teatro a Roma.""
  ],
  ""solution"": ""TEATRO""
}
```","['BAMBINI', 'CORTE', 'DANZA', 'MASSIMO', 'TENDA']","['Portiamo i bambini al teatro, ci sono anche teatri per bambini.', ""Anticamente c'era il teatro di corte."", 'La danza è una delle arti del teatro / una forma di rappresentazione teatrale.', 'Il Teatro Massimo è il nome di un teatro.', 'Tenda è stato un grande teatro a Roma.']",TEATRO
La Ghigliottina - L'EreditÃ  27/03/2024',Rai,27/03/2024,https://www.youtube.com/watch?v=KhlCR1TyJxo,27-03-2024.jpg,"ENTRARE,MATERIA,BENE,PIENO,PALLA,11.875","```json
{
  ""clue"": [""ENTRARE"", ""MATERIA"", ""BENE"", ""PIENO"", ""PALLA""],
  ""explanation"": [
    ""entrare in possesso (del bene)"",
    ""essere in possesso di una materia (possesso totale di una materia, padroneggiarla)"",
    ""possesso di un bene"",
    ""essere in pieno possesso"",
    ""possesso palla (nel calcio)""
  ],
  ""solution"": ""POSSESSO""
}
```","['ENTRARE', 'MATERIA', 'BENE', 'PIENO', 'PALLA']","['entrare in possesso (del bene)', 'essere in possesso di una materia (possesso totale di una materia, padroneggiarla)', 'possesso di un bene', 'essere in pieno possesso', 'possesso palla (nel calcio)']",POSSESSO
La Ghigliottina - L'EreditÃ  26/03/2024',Rai,26/03/2024,https://www.youtube.com/watch?v=GauNI3t4Tvw,26-03-2024.jpg,"ORO,VAPORE,PORTA,OBBLIGO,METTERE,42.500","```json
{
  ""clue"": [
    ""ORO"",
    ""VAPORE"",
    ""PORTA"",
    ""OBBLIGO"",
    ""METTERE""
  ],
  ""explanation"": [
    ""Pentola d'ORO (riferimento alla pentola d'oro alla fine dell'arcobaleno)"",
    ""Pentola a VAPORE (riferimento al cuocere qualcosa a vapore in pentola)"",
    ""Porta-pentola (riferimento al poggiapentole)"",
    ""OBBLIGO di casco (riferimento all'obbligo di indossare il casco)"",
    ""METTERE in pentola (riferimento all'uso dell'espressione 'mettere in pentola')""
  ],
  ""solution"": ""CASCO""
}
```","['ORO', 'VAPORE', 'PORTA', 'OBBLIGO', 'METTERE']","[""Pentola d'ORO (riferimento alla pentola d'oro alla fine dell'arcobaleno)"", 'Pentola a VAPORE (riferimento al cuocere qualcosa a vapore in pentola)', 'Porta-pentola (riferimento al poggiapentole)', ""OBBLIGO di casco (riferimento all'obbligo di indossare il casco)"", ""METTERE in pentola (riferimento all'uso dell'espressione 'mettere in pentola')""]",CASCO
La Ghigliottina - L'EreditÃ  25/03/2024',Rai,25/03/2024,https://www.youtube.com/watch?v=8tdWN17dxJI,25-03-2024.jpg,"ESEMPIO,PATTINI,CENACOLO,DONNA,DOLCI,45.000","```json
{
  ""clue"": [
    ""esempio"",
    ""pattini"",
    ""cenacolo"",
    ""donna"",
    ""dolci""
  ],
  ""explanation"": [
    ""l'esempio è adatto a quello che volevamo intendere con calza (calza come metafora/esempio)"",
    ""c'è la calza da pattini nelle gare di pattinaggio"",
    ""Cenacolo della Calza che sta a Firenze (è un affresco)"",
    ""la calza da donna"",
    ""la calza con i dolci""
  ],
  ""solution"": ""calza""
}
```","['esempio', 'pattini', 'cenacolo', 'donna', 'dolci']","[""l'esempio è adatto a quello che volevamo intendere con calza (calza come metafora/esempio)"", ""c'è la calza da pattini nelle gare di pattinaggio"", 'Cenacolo della Calza che sta a Firenze (è un affresco)', 'la calza da donna', 'la calza con i dolci']",CALZA
La Ghigliottina - L'EreditÃ  24/03/2024',Rai,24/03/2024,https://www.youtube.com/watch?v=9t3HM4IaAf4,24-03-2024.jpg,"DOMANDE,CAVALLO,CUCINA,CAMBIARE,SPAZZOLE,9.375","```json
{
  ""clue"": [
    ""DOMANDE"",
    ""CAVALLO"",
    ""CUCINA"",
    ""CAMBIARE"",
    ""SPAZZOLE""
  ],
  ""explanation"": [
    ""Un fiume di domande (serie di domande)."",
    ""Una batteria a cavallo (unità dell'esercito, si va a cavallo)."",
    ""Una batteria di pentole."",
    ""Cambiare la batteria."",
    ""Le spazzole si usano nella batteria (strumento musicale).""
  ],
  ""solution"": ""BATTERIA""
}
```","['DOMANDE', 'CAVALLO', 'CUCINA', 'CAMBIARE', 'SPAZZOLE']","['Un fiume di domande (serie di domande).', ""Una batteria a cavallo (unità dell'esercito, si va a cavallo)."", 'Una batteria di pentole.', 'Cambiare la batteria.', 'Le spazzole si usano nella batteria (strumento musicale).']",BATTERIA
La Ghigliottina - L'EreditÃ  23/03/2024',Rai,23/03/2024,https://www.youtube.com/watch?v=rZSiWPWfplY,23-03-2024.jpg,"PIZZA,ROSSO,CRUDO,ROMANZO,INVESTIRE,47.500","```json
{
  ""clue"": [
    ""PIZZA"",
    ""ROSSO"",
    ""CRUDO"",
    ""ROMANZO"",
    ""INVESTIRE""
  ],
  ""explanation"": [
    ""Pizza al mattone (cotta nel forno a legna, in riferimento al conduttore che scherza con Pierpaolo sul suo negozio)"",
    ""Mattoni rossi (i tipici mattoncini)"",
    ""Mattone crudo (il mattone essiccato al sole, non cotto al forno)"",
    ""Romanzo mattone (si dice di un romanzo noioso e pesante)"",
    ""Investire nel mattone (acquistare un bene immobile)""
  ],
  ""solution"": ""MATTONE""
}
```","['PIZZA', 'ROSSO', 'CRUDO', 'ROMANZO', 'INVESTIRE']","['Pizza al mattone (cotta nel forno a legna, in riferimento al conduttore che scherza con Pierpaolo sul suo negozio)', 'Mattoni rossi (i tipici mattoncini)', 'Mattone crudo (il mattone essiccato al sole, non cotto al forno)', 'Romanzo mattone (si dice di un romanzo noioso e pesante)', 'Investire nel mattone (acquistare un bene immobile)']",MATTONE
La Ghigliottina - L'EreditÃ  22/03/2024',Rai,22/03/2024,https://www.youtube.com/watch?v=DF5zVe_-DWk,22-03-2024.jpg,"GRANDE,DEBITO,RAGIONE,PESANTE,CURA,85.000","```json
{
  ""clue"": [
    ""GRANDE"",
    ""DEBITO"",
    ""RAGIONE"",
    ""PESANTE"",
    ""CURA""
  ],
  ""explanation"": [
    ""Il Grande sonno (titolo di un film)."",
    ""Essere in debito di sonno significa essere molto stanchi."",
    ""Il sonno della ragione genera mostri (riferimento all'opera di Goya)."",
    ""Sonno pesante (riferimento al fatto che non si sveglia neanche con le cannonate)."",
    ""La cura del sonno (in caso di problemi di insonnia).""
  ],
  ""solution"": ""SONNO""
}
```","['GRANDE', 'DEBITO', 'RAGIONE', 'PESANTE', 'CURA']","['Il Grande sonno (titolo di un film).', 'Essere in debito di sonno significa essere molto stanchi.', ""Il sonno della ragione genera mostri (riferimento all'opera di Goya)."", 'Sonno pesante (riferimento al fatto che non si sveglia neanche con le cannonate).', 'La cura del sonno (in caso di problemi di insonnia).']",SONNO
La Ghigliottina - L'EreditÃ  21/03/2024',Rai,21/03/2024,https://www.youtube.com/watch?v=yrhvkkeXJdw,21-03-2024.jpg,"VENIRE,ALTO,MANO,CAPELLI,QUATTRO,85.000","```json
{
  ""clue"": [
    ""CAPELLI"",
    ""QUATTRO"",
    ""MANO"",
    ""ALTO"",
    ""VENIRE""
  ],
  ""explanation"": [
    ""prendere qualcosa per i capelli / all'ultimo capello"",
    ""prendere un quattro a scuola"",
    ""accompagnare qualcuno, prenderlo per mano / prendere per mano"",
    ""prendere qualcosa in alto"",
    ""venire a prendere""
  ],
  ""solution"": ""PRENDERE""
}
```","['CAPELLI', 'QUATTRO', 'MANO', 'ALTO', 'VENIRE']","[""prendere qualcosa per i capelli / all'ultimo capello"", 'prendere un quattro a scuola', 'accompagnare qualcuno, prenderlo per mano / prendere per mano', 'prendere qualcosa in alto', 'venire a prendere']",PRENDERE
La Ghigliottina - L'EreditÃ  20/03/2024',Rai,20/03/2024,https://www.youtube.com/watch?v=uOz0WNaeZX8,20-03-2024.jpg,"EMOZIONE,VINCERE,ATTESA,BARBA,RESTO,20.000","```json
{
  ""clue"": [
    ""emozione"",
    ""vincere"",
    ""attesa"",
    ""barba"",
    ""resto""
  ],
  ""explanation"": [
    ""Tempo può essere vissuto come un'emozione (riferimento al filosofo Bresson tra tempo ed emozione)."",
    ""Il tempo può portare a vincere o a perdere (riferimento al tempo rimanente/restante in una gara)."",
    ""Il tempo dell'attesa (tempo d'attesa)."",
    ""Detto 'farla in barba al tempo' (anche se il giocatore la collega al tempo, il presentatore usa l'espressione in relazione alle altre parole)."",
    ""Tutto il resto è noia (riferimento a Califano 'Tutto il resto è noia').""
  ],
  ""solution"": ""noia""
}
```","['emozione', 'vincere', 'attesa', 'barba', 'resto']","[""Tempo può essere vissuto come un'emozione (riferimento al filosofo Bresson tra tempo ed emozione)."", 'Il tempo può portare a vincere o a perdere (riferimento al tempo rimanente/restante in una gara).', ""Il tempo dell'attesa (tempo d'attesa)."", ""Detto 'farla in barba al tempo' (anche se il giocatore la collega al tempo, il presentatore usa l'espressione in relazione alle altre parole)."", ""Tutto il resto è noia (riferimento a Califano 'Tutto il resto è noia').""]",NOIA
