,clue,solution,spiegazione
82,"anello, cavaliere, giro, diritto, salute",maglia,"1. Anello: La maglia dell'anello è un'espressione che si usa per descrivere un anello o un gioiello che ha una maglia o una catena come decorazione o come elemento distintivo, come la maglia dell'anello che si usa per distinguere o contraddistinguere un anello o un gioiello.
2. Cavaliere: La maglia del cavaliere è un'espressione che si usa per descrivere una maglia o una catena che si usa per fissare o tenere il mantello o la cappa del cavaliere, come la maglia del cavaliere che si usa per fissare o tenere il mantello o la cappa del cavaliere.
3. Giro: La maglia del giro è un'espressione che si usa per descrivere una maglia o una catena che si usa per fare o compiere un giro o una rotazione, come la maglia del giro che si usa per fare o compiere un giro o una rotazione.
4. Diritto: La maglia del diritto è un'espressione che si usa per descrivere una maglia o una catena che si usa per indicare o segnalare il diritto o la giusta via, come la maglia del diritto che si usa per indicare o segnalare il diritto o la giusta via.
5. Salute: La maglia della salute è un'espressione che si usa per descrivere una maglia o una catena che si usa per proteggere o preservare la salute o il benessere, come la maglia della salute che si usa per proteggere o preservare la salute o il benessere.</s>"
83,"statua, ali, lacca, brutta, passare",cera,"1. Statua: La cera della statua è un'espressione che si usa per descrivere la cera che si usa per modellare o plasmare una statua o una figura, come la cera della statua che si usa per modellare o plasmare una statua o una figura.
2. Ali: La cera delle ali è un'espressione che si usa per descrivere la cera che si usa per lucidare o levigare le ali degli uccelli o degli insetti, come la cera delle ali che si usa per lucidare o levigare le ali degli uccelli o degli insetti.
3. Lacca: La cera della lacca è un'espressione che si usa per descrivere la cera che si usa per lucidare o proteggere la lacca o la vernice, come la cera della lacca che si usa per lucidare o proteggere la lacca o la vernice.
4. Brutta: La cera della brutta è un'espressione che si usa per descrivere la cera che si usa per coprire o nascondere una brutta o una cattiva cosa, come la cera della brutta che si usa per coprire o nascondere una brutta o una cattiva cosa.
5. Passare: La cera del passare è un'espressione che si usa per descrivere la cera che si usa per passare o spalmare su una superficie, come la cera del passare che si usa per passare o spalmare su una superficie.</s>"
84,"ora, cabina, stanza, nero, acqua",buco,"1. Ora: Il buco dell'ora è un'espressione che si usa per descrivere un buco o un foro che si usa per segnare o indicare l'ora, come il buco dell'ora che si usa per segnare o indicare l'ora in un orologio o in un orologio da parete.
2. Cabina: Il buco della cabina è un'espressione che si usa per descrivere un buco o un foro che si usa per guardare o osservare all'interno di una cabina o di una cabina, come il buco della cabina che si usa per guardare o osservare all'interno di una cabina o di una cabina.
3. Stanza: Il buco della stanza è un'espressione che si usa per descrivere un buco o un foro che si usa per guardare o osservare all'interno di una stanza o di un ambiente, come il buco della stanza che si usa per guardare o osservare all'interno di una stanza o di un ambiente.
4. Nero: Il buco nero è un'espressione che si usa per descrivere un buco o un foro nero che si forma nello spazio o nell'universo, come il buco nero che si forma nello spazio o nell'universo a causa della gravità o della forza di attrazione.
5. Acqua: Il buco dell'acqua è un'espressione che si usa per descrivere un buco o un foro che si forma nell'acqua o nel mare, come il buco dell'acqua che si forma nell'acqua o nel mare a causa della corrente o del vento.</s>"
85,"nove, donna, egitto, pesce, romeo",gatto,"1. Nove: Il gatto di nove code è un'espressione che si usa per descrivere un gatto che ha nove code o code simili, come il gatto di nove code che si usa per descrivere un gatto che ha nove code o code simili.
2. Donna: La gatta è un'espressione che si usa per descrivere una donna che è astuta o furba, come la gatta che si usa per descrivere una donna che è astuta o furba.
3. Egitto: Il gatto dell'Egitto è un'espressione che si usa per descrivere un gatto che proviene dall'Egitto o che è associato all'Egitto, come il gatto dell'Egitto che si usa per descrivere un gatto che proviene dall'Egitto o che è associato all'Egitto.
4. Pesce: Il gatto di pesce è un'espressione che si usa per descrivere un gatto che mangia o che ama il pesce, come il gatto di pesce che si usa per descrivere un gatto che mangia o che ama il pesce.
5. Romeo: Il gatto di Romeo è un'espressione che si usa per descrivere un gatto che è associato a Romeo o che vive a Roma, come il gatto di Romeo che si usa per descrivere un gatto che è associato a Romeo o che vive a Roma.</s>"
86,"buonanotte, matrimonio, racconto, paese, morale",favola,"1. Buonanotte: La favola della buonanotte è un'espressione che si usa per descrivere una favola che si legge o si ascolta prima di andare a dormire, come la favola della buonanotte che si legge o si ascolta prima di andare a dormire.
2. Matrimonio: La favola del matrimonio è un'espressione che si usa per descrivere una favola che parla o descrive il matrimonio o il matrimonio, come la favola del matrimonio che si usa per descrivere una favola che parla o descrive il matrimonio o il matrimonio.
3. Racconto: La favola del racconto è un'espressione che si usa per descrivere una favola che è un racconto o una storia, come la favola del racconto che si usa per descrivere una favola che è un racconto o una storia.
4. Paese: La favola del paese è un'espressione che si usa per descrivere una favola che parla o descrive il paese o il paese, come la favola del paese che si usa per descrivere una favola che parla o descrive il paese o il paese.
5. Morale: La favola della morale è un'espressione che si usa per descrivere una favola che ha una morale o una lezione, come la favola della morale che si usa per descrivere una favola che ha una morale o una lezione.</s>"
87,"canna, vita, maggiore, pistola, amico",cane,"1. Canna: Il cane della canna è un'espressione che si usa per descrivere un cane che è associato alla canna o che vive vicino alla canna, come il cane della canna che si usa per descrivere un cane che è associato alla canna o che vive vicino alla canna.
2. Vita: Il cane della vita è un'espressione che si usa per descrivere un cane che è associato alla vita o che è vivo, come il cane della vita che si usa per descrivere un cane che è associato alla vita o che è vivo.
3. Maggiore: Il cane maggiore è un'espressione che si usa per descrivere un cane che è più grande o più vecchio di un altro cane, come il cane maggiore che si usa per descrivere un cane che è più grande o più vecchio di un altro cane.
4. Pistola: Il cane della pistola è un'espressione che si usa per descrivere un cane che è associato alla pistola o che è usato come pistola, come il cane della pistola che si usa per descrivere un cane che è associato alla pistola o che è usato come pistola.
5. Amico: Il cane dell'amico è un'espressione che si usa per descrivere un cane che è un amico o un compagno, come il cane dell'amico che si usa per descrivere un cane che è un amico o un compagno.</s>"
88,"giovane, verbale, debito, matrimonio, marinaio",promessa,"1. Giovane: La promessa del giovane è un'espressione che si usa per descrivere una promessa che fa un giovane o che è fatta a un giovane, come la promessa del giovane che si usa per descrivere una promessa che fa un giovane o che è fatta a un giovane.
2. Verbale: La promessa verbale è un'espressione che si usa per descrivere una promessa che è fatta a parole o che è verbale, come la promessa verbale che si usa per descrivere una promessa che è fatta a parole o che è verbale.
3. Debito: La promessa del debito è un'espressione che si usa per descrivere una promessa che è fatta per pagare un debito o per onorare un impegno, come la promessa del debito che si usa per descrivere una promessa che è fatta per pagare un debito o per onorare un impegno.
4. Matrimonio: La promessa del matrimonio è un'espressione che si usa per descrivere una promessa che è fatta durante il matrimonio o che è fatta per sposarsi, come la promessa del matrimonio che si usa per descrivere una promessa che è fatta durante il matrimonio o che è fatta per sposarsi.
5. Marinaio: La promessa del marinaio è un'espressione che si usa per descrivere una promessa che è fatta da un marinaio o che è fatta a un marinaio, come la promessa del marinaio che si usa per descrivere una promessa che è fatta da un marinaio o che è fatta a un marinaio.</s>"
89,"passare, limite, avanti, tutto, mare",oltre,"1. Passare: Il passare oltre è un'espressione che si usa per descrivere il passare o il superare di qualcosa o di qualcuno, come il passare oltre che si usa per descrivere il passare o il superare di qualcosa o di qualcuno.
2. Limite: Il limite oltre il quale è un'espressione che si usa per descrivere il limite oltre il quale si trova qualcosa o qualcuno, come il limite oltre il quale è un'espressione che si usa per descrivere il limite oltre il quale si trova qualcosa o qualcuno.
3. Avanti: Il oltre avanti è un'espressione che si usa per descrivere il oltre avanti che si deve andare o che si deve fare, come il oltre avanti che si usa per descrivere il oltre avanti che si deve andare o che si deve fare.
4. Tutto: Il oltre tutto è un'espressione che si usa per descrivere il oltre tutto che si deve fare o che si deve considerare, come il oltre tutto che si usa per descrivere il oltre tutto che si deve fare o che si deve considerare.
5. Mare: Il oltre mare è un'espressione che si usa per descrivere il oltre mare che si deve andare o che si deve attraversare, come il oltre mare che si usa per descrivere il oltre mare che si deve andare o che si deve attraversare.</s>"
90,"dare, bianco, aperto, conquista, temporale",spazio,"1. Dare: Il dare spazio è un'espressione che si usa per descrivere il dare spazio a qualcosa o a qualcuno, come il dare spazio che si usa per descrivere il dare spazio a qualcosa o a qualcuno.
2. Bianco: Il bianco spazio è un'espressione che si usa per descrivere il bianco spazio che si trova in un foglio o in un documento, come il bianco spazio che si usa per descrivere il bianco spazio che si trova in un foglio o in un documento.
3. Aperto: Il spazio aperto è un'espressione che si usa per descrivere il spazio aperto che si trova all'aperto o che è all'aperto, come il spazio aperto che si usa per descrivere il spazio aperto che si trova all'aperto o che è all'aperto.
4. Conquista: La conquista dello spazio è un'espressione che si usa per descrivere la conquista dello spazio che è stata fatta o che sarà fatta, come la conquista dello spazio che si usa per descrivere la conquista dello spazio che è stata fatta o che sarà fatta.
5. Temporale: Il temporale nello spazio è un'espressione che si usa per descrivere il temporale nello spazio che si verifica o che si verificherà, come il temporale nello spazio che si usa per descrivere il temporale nello spazio che si verifica o che si verificherà.</s>"
91,"inter, partito, libertà, piano, uomo",azione,"1. Inter: L'inter-azione è un'espressione che si usa per descrivere l'inter-azione che si verifica o che si verificherà tra due o più persone o cose, come l'inter-azione che si usa per descrivere l'inter-azione che si verifica o che si verificherà tra due o più persone o cose.
2. Partito: L'azione del partito è un'espressione che si usa per descrivere l'azione del partito che è stata fatta o che sarà fatta, come l'azione del partito che si usa per descrivere l'azione del partito che è stata fatta o che sarà fatta.
3. Libertà: L'azione per la libertà è un'espressione che si usa per descrivere l'azione per la libertà che è stata fatta o che sarà fatta, come l'azione per la libertà che si usa per descrivere l'azione per la libertà che è stata fatta o che sarà fatta.
4. Piano: L'azione del piano è un'espressione che si usa per descrivere l'azione del piano che è stata fatta o che sarà fatta, come l'azione del piano che si usa per descrivere l'azione del piano che è stata fatta o che sarà fatta.
5. Uomo: L'azione dell'uomo è un'espressione che si usa per descrivere l'azione dell'uomo che è stata fatta o che sarà fatta, come l'azione dell'uomo che si usa per descrivere l'azione dell'uomo che è stata fatta o che sarà fatta.</s>"
92,"stretta, carte, opera, zingara, contro",mano,"1. Stretta: La stretta di mano è un gesto comune di saluto o di accordo tra due persone.
2. Carte: Le carte da gioco sono tenute e manipolate con le mani.
3. Opera: Nell'opera lirica, la mano è un gesto simbolico usato dai cantanti per esprimere emozioni o per rappresentare azioni.
4. Zingara: La zingara legge la mano per predire il futuro o per fornire informazioni sui tratti di carattere di una persona.
5. Contro: Il detto ""mettere le mani contro"" si riferisce a opporsi o a ostacolare qualcuno o qualcosa con le mani.</s>"
93,"titolo, mio, amore, amico, corona",tesoro,"1. Titolo: Il tesoro nascosto è un tipo di titolo che indica la presenza di un tesoro nascosto o di un oggetto di grande valore.
2. Mio: Il mio tesoro è un'espressione affettuosa usata per riferirsi a qualcuno o qualcosa di grande valore o importanza.
3. Amore: Il tesoro dell'amore si riferisce al valore e all'importanza dell'amore nella vita di una persona.
4. Amico: Il tesoro dell'amicizia si riferisce al valore e all'importanza dell'amicizia nella vita di una persona.
5. Corona: La corona del tesoro si riferisce a una corona di grande valore o di grande importanza, come una corona reale o una corona di alloro.</s>"
94,"sant'antonio, rosa, coppa, lordo, salvadanaio",maiale,"1. Sant'Antonio: Sant'Antonio è spesso rappresentato con un maiale al suo fianco, poiché si crede che egli abbia il potere di guarire i maiali malati.
2. Rosa: Il maiale rosa è un tipo di maiale domestico che ha un mantello di colore rosa.
3. Coppa: La coppa del maiale si riferisce alla forma a coppa della testa di un maiale, che è spesso utilizzata per preparare piatti tradizionali come il prosciutto.
4. Lordo: Il maiale grasso o lordo è un tipo di maiale allevato per la produzione di carne grassa e saporita.
5. Salvadanaio: Il maiale di salvadanaio è un tipo di salvadanaio a forma di maiale, che è spesso utilizzato per raccogliere monete o denaro.</s>"
95,"polizia, asia, aggressiva, protesta, siena",pantera,"1. Polizia: La pantera nera è un simbolo utilizzato dalle forze di polizia in alcuni paesi, come gli Stati Uniti, per rappresentare la lotta contro la criminalità e la violenza.
2. Asia: La pantera delle nevi è un animale che vive nelle montagne dell'Asia centrale e meridionale.
3. Aggressiva: La pantera è spesso considerata un animale aggressivo e pericoloso, a causa della sua forza e della sua abilità di arrampicarsi sugli alberi e di nuotare.
4. Protesta: La pantera nera è stata anche un simbolo utilizzato dai movimenti di protesta e di lotta per i diritti civili negli Stati Uniti negli anni '60.
5. Siena: La pantera nera è uno dei simboli della città di Siena, in Italia, ed è rappresentata sullo stemma della città.</s>"
96,"secco, whiskey, palazzo, occhi, zero",ghiaccio,"1. Secco: Il whiskey secco è un tipo di whiskey che ha un sapore secco e intenso, a differenza di quelli più dolci e morbidi.
2. Whiskey: Il whiskey ghiacciato è un modo comune di servire il whiskey, aggiungendo cubetti di ghiaccio per raffreddarlo e diluirlo leggermente.
3. Palazzo: Il palazzo del ghiaccio è un tipo di edificio utilizzato per ospitare eventi sportivi su ghiaccio, come il pattinaggio artistico o il hockey su ghiaccio.
4. Occhi: Gli occhi ghiacciati sono un'espressione utilizzata per descrivere uno sguardo freddo e distaccato, come quello di una persona che non mostra emozioni o sentimenti.
5. Zero: Il ghiaccio secco è un tipo di ghiaccio che ha una temperatura di -78,5°C ed è utilizzato per conservare i farmaci o per creare effetti speciali nei film. Il suo nome deriva dal fatto che ha un punto di fusione a zero gradi Celsius.</s>"
97,"venezia, vita, fiera, fiori, orecchie",mercante,"1. Venezia: La città di Venezia è stata un importante centro di commercio e di scambi mercantili durante il Medioevo e il Rinascimento.
2. Vita: La vita del mercante era spesso difficile e faticosa, a causa dei lunghi viaggi e dei rischi associati al commercio.
3. Fiera: Le fiere mercantili erano importanti eventi economici e sociali durante il Medioevo, dove i mercanti si incontravano per scambiare merci e idee.
4. Fiori: I fiori erano spesso utilizzati come merce di scambio dai mercanti, che li vendevano per guadagnare denaro o per scambiarli con altre merci.
5. Orecchie: I mercanti dovevano essere attenti e vigili, ascoltando le notizie e le informazioni che circolavano nei mercati e nelle fiere, per essere in grado di prendere decisioni informate e di trarre profitto dalle loro attività.</s>"
98,"scrittura, quota, mosca, gola, umano",capitale,"1. Scrittura: La capitale di una nazione è spesso indicata con una lettera maiuscola, come ad esempio ""Roma"" o ""Parigi"".
2. Quota: La capitale di una società è la quota di capitale che appartiene ai soci fondatori o agli azionisti di maggioranza.
3. Mosca: Mosca è la capitale della Russia, una delle più grandi e popolose città del mondo.
4. Gola: La gola capitale è un termine utilizzato per descrivere una persona che ha una grande sete o un grande appetito, spesso a causa di una malattia o di un disturbo.
5. Umano: La capitale umana si riferisce alle competenze, alle conoscenze e alle abilità delle persone che vivono in una nazione o in una comunità, e che possono essere utilizzate per creare ricchezza e benessere.</s>"
99,"medioevo, volare, grave, colpo, paul nei beatles",basso,"1. Medioevo: Durante il Medioevo, i mezzi di trasporto più comuni erano a cavallo o a piedi, quindi non c'era la possibilità di ""volare"" come oggi.
2. Volare: Il basso volante è un tipo di basso elettrico che ha un design particolare, con le corde disposte in modo da formare un angolo acuto rispetto al corpo del basso.
3. Grave: Il suono del basso è spesso descritto come grave o profondo, a causa della sua frequenza più bassa rispetto ad altri strumenti musicali.
4. Colpo: Il colpo di basso è un effetto sonoro utilizzato in alcuni generi musicali, come il reggae o il dub, per creare un suono più intenso e profondo.
5. Paul nei Beatles: Paul McCartney, il bassista dei Beatles, era noto per il suo stile di suonare il basso, che era caratterizzato da linee di basso semplici ed efficaci, che sostenevano e accompagnavano la musica del gruppo.</s>"
100,"sacro, pettine, molla, buco, duro",osso,"1. Sacro: L'osso sacro è una parte della colonna vertebrale, che si trova nella parte inferiore della schiena.
2. Pettine: L'osso pettine è un osso situato nella parte superiore della testa dei mammiferi, che serve a proteggere il cervello.
3. Molla: L'osso molla è un osso presente nella parte inferiore della gamba, che serve a proteggere la caviglia e a facilitare il movimento del piede.
4. Buco: L'osso buco è un osso presente nella testa dei pesci, che serve a proteggere il cervello e a facilitare il movimento della mascella.
5. Duro: L'osso è un tessuto duro e resistente, che serve a proteggere gli organi interni del corpo e a facilitare il movimento delle articolazioni.</s>"
101,"rossa, veneziana, doccia, sottoterra, treccia",cipolla,"1. Rossa: La cipolla rossa è una varietà di cipolla che ha una buccia di colore rosso intenso.
2. Veneziana: La cipolla veneziana è una varietà di cipolla dolce e croccante, che è originaria della regione del Veneto in Italia.
3. Doccia: La cipolla sotto doccia è un metodo di coltivazione delle cipolle, che consiste nel piantare i bulbi in file parallele e irrigarli con un sistema a goccia.
4. Sottoterra: Le cipolle crescono sottoterra, dove sviluppano il loro bulbo carnoso e saporito.
5. Treccia: Le cipolle possono essere intrecciate insieme per creare una treccia, che può essere utilizzata come decorazione o come modo pratico per conservare le cipolle.</s>"
102,"deserto, stomaco, assegno, sotto, perdere",vuoto,"1. Deserto: Il deserto è un luogo arido e privo di vita, dove regna il vuoto e il silenzio.
2. Stomaco: Il vuoto nello stomaco è un senso di fame o di appetito, che si verifica quando lo stomaco è vuoto o quando è passato del tempo dall'ultimo pasto.
3. Assegno: Un assegno al vuoto è un assegno che non è stato emesso contro un conto corrente o che non ha fondi sufficienti per essere onorato.
4. Sotto: Il vuoto sotto i piedi è un'espressione che si utilizza per descrivere una sensazione di instabilità o di insicurezza, come se ci si trovasse su una superficie instabile o scivolosa.
5. Perdere: Perdere il senso del vuoto è un'espressione che si utilizza per descrivere una situazione in cui si è perso il controllo o la lucidità mentale, come ad esempio in una situazione di stress o di emergenza.</s>"
103,"44, parto, luglio, ragazzi, zar",cesare,"1. 44: Il 44 è il numero che si utilizza per indicare il parto cesareo, che è una procedura chirurgica per estrarre il feto dall'utero della madre.
2. Parto: Il parto cesareo è una procedura chirurgica che viene eseguita quando il parto vaginale è impossibile o pericoloso per la madre o il feto.
3. Luglio: Il mese di luglio è dedicato alla Madonna del Carmelo, che è la patrona delle partorienti e delle donne in gravidanza.
4. Ragazzi: Il cesare è un soprannome che si utilizza per indicare i ragazzi o i giovani uomini, specialmente quelli che hanno un carattere forte e deciso.
5. Zar: Il cesare è anche il nome di un imperatore romano, Gaio Giulio Cesare, che è diventato un simbolo di potere e di leadership. Il termine ""cesare"" è stato poi utilizzato per indicare i sovrani dell'Impero Romano d'Occidente e dell'Impero Romano d'Oriente, nonché i sovrani dell'Impero Russo, che erano chiamati ""zar"".</s>"
104,"pavone, morso, stagnante, jurassic park, tigre",zanzara,"1. Pavone: Le zanzare possono essere un fastidio per i pavoni, che possono essere disturbati dalle punture delle zanzare e dalle loro zampette che strusciano sulle piume.
2. Morso: Il morso della zanzara è un fastidio comune, che può causare prurito e gonfiore sulla pelle.
3. Stagnante: Le zanzare si riproducono in acque stagnanti, come stagni, laghi o paludi, dove depongono le uova e dove si sviluppano le larve.
4. Jurassic Park: Le zanzare sono presenti anche nel film Jurassic Park, dove vengono utilizzate per estrarre il DNA dei dinosauri estinti e per clonarli.
5. Tigre: Le zanzare tigre sono una specie di zanzara che è diffusa in molte parti del mondo, e che può trasmettere malattie come la dengue o la chikungunya. La tigre è anche un animale che può essere disturbato dalle zanzare, che possono pungerlo e causargli prurito o irritazione.</s>"
105,"armadio, vecchio, vacanza, lucchetti, mobile",ponte,"1. Armadio: Il ponte è un mobile che può essere utilizzato come armadio, dove riporre i vestiti o gli oggetti personali.
2. Vecchio: Il ponte vecchio è un ponte storico che si trova a Firenze, in Italia, e che è uno dei simboli della città.
3. Vacanza: Il ponte è un periodo di vacanza che si verifica quando una festività cade di martedì o di giovedì, e che permette di avere un lungo fine settimana.
4. Lucchetti: I lucchetti del ponte sono un simbolo d'amore che si trova su alcuni ponti, come il ponte dei Sospiri a Venezia, dove le coppie di innamorati appendono un lucchetto per simboleggiare il loro amore eterno.
5. Mobile: Il ponte mobile è un tipo di ponte che può essere sollevato o abbassato per permettere il passaggio delle navi o delle imbarcazioni. Il termine ""mobile"" si riferisce al fatto che il ponte può essere spostato o mosso, a differenza dei ponti fissi che sono permanenti.</s>"
106,"fante, leopardi, copione, fortuna, juve",gobbo,"1. Fante: Il gobbo di Notre Dame è un personaggio del romanzo di Victor Hugo, che è un fante deforme che vive nel campanile della cattedrale di Notre Dame a Parigi.
2. Leopardi: Il gobbo di Riccardo III è un personaggio della tragedia di Shakespeare, che è un nobile deforme che diventa re d'Inghilterra.
3. Copione: Il gobbo di Venezia è un personaggio della commedia di Goldoni, che è un servo gobbo che lavora per un mercante veneziano.
4. Fortuna: Il gobbo della fortuna è un simbolo di sfortuna o di sventura, che si riferisce alla deformità fisica o alla sfortuna che può colpire una persona.
5. Juve: Il gobbo è anche il soprannome che si utilizza per indicare i tifosi della Juventus, una squadra di calcio italiana. Il termine ""gobbo"" si riferisce al fatto che i tifosi della Juventus sono spesso associati alla deformità fisica o alla gobba, che è un simbolo della loro passione e del loro attaccamento alla squadra.</s>"
107,"animale, naturale, bere, colpo, nostromo",spugna,"1. Animale: La spugna è un animale marino che vive nelle acque poco profonde e che si nutre di plancton e di altri microrganismi.
2. Naturale: La spugna naturale è un materiale che si ottiene dalle spugne marine, e che è utilizzato per la pulizia e per l'igiene personale.
3. Bere: La spugna è un oggetto che può essere utilizzato per bere, come ad esempio una spugna da bagno o una spugna per il viso.
4. Colpo: Il colpo di spugna è un'espressione che si utilizza per indicare un gesto rapido e deciso, come quello di pulire o di asciugare qualcosa con una spugna.
5. Nostromo: Il gobbo di Nostromo è un personaggio del romanzo di Joseph Conrad, che è un marinaio deforme che lavora su una nave chiamata Nostromo. Il termine ""gobbo"" si riferisce alla deformità fisica del personaggio, mentre il termine ""Nostromo"" si riferisce al nome della nave su cui lavora.</s>"
108,"croce, vena, testa, sandalo, pinocchio",legno,"1. Croce: La croce di legno è un simbolo religioso che si riferisce alla croce sulla quale Gesù Cristo è stato crocifisso.
2. Vena: Il legno di vena è un tipo di legno che ha una venatura particolare, che lo rende pregiato e resistente.
3. Testa: Il legno di testa è un tipo di legno che si utilizza per la produzione di mobili o di oggetti decorativi, e che ha una venatura particolare che lo rende resistente e durevole.
4. Sandalo: Il sandalo di legno è un tipo di sandalo che si realizza con il legno, e che è utilizzato per la produzione di calzature tradizionali o artigianali.
5. Pinocchio: Pinocchio è un personaggio della fiaba di Collodi, che è un burattino di legno che prende vita e che vive numerose avventure. Il termine ""legno"" si riferisce al materiale con cui è realizzato il burattino, e che ne determina le caratteristiche e le proprietà.</s>"
109,"materasso, mare, bagno, rabbia, latte",schiuma,"1. Materasso: Il materasso in schiuma è un tipo di materasso che si realizza con la schiuma poliuretanica, e che è noto per la sua morbidezza e per il suo comfort.
2. Mare: La schiuma del mare è un fenomeno naturale che si verifica quando le onde del mare si infrangono sulla spiaggia, e che produce una schiuma bianca e soffice.
3. Bagno: La schiuma da bagno è un prodotto che si utilizza per creare una schiuma profumata e rilassante durante il bagno, e che è noto per le sue proprietà idratanti e rinfrescanti.
4. Rabbia: La schiuma alla bocca è un segno di rabbia o di collera, che si manifesta con la produzione di schiuma intorno alla bocca e con il linguaggio aggressivo o minaccioso.
5. Latte: La schiuma del latte è un fenomeno che si verifica quando il latte viene riscaldato o agitato, e che produce una schiuma bianca e soffice. La schiuma del latte è un ingrediente importante nella produzione di cappuccino o di caffè macchiato, e che ne determina il gusto e la consistenza.</s>"
110,"fuori, vizio, grana, etichetta, peso",forma,"1. Fuori: La forma esterna è un aspetto importante della bellezza o dell'estetica di un oggetto, e che si riferisce alla sua forma e alla sua struttura esterna.
2. Vizio: La forma mentis è un'espressione che si utilizza per indicare il modo di pensare o di ragionare di una persona, e che può essere influenzata dal suo vizio o dal suo difetto.
3. Grana: La forma del grana è un aspetto importante della qualità del formaggio, e che si riferisce alla sua consistenza e alla sua texture interna.
4. Etichetta: La forma dell'etichetta è un aspetto importante della presentazione di un prodotto, e che si riferisce alla sua forma e alla sua struttura esterna.
5. Peso: La forma fisica è un aspetto importante della salute e del benessere di una persona, e che si riferisce al suo peso e alla sua composizione corporea. La forma fisica può essere influenzata dall'esercizio fisico, dall'alimentazione o dalla genetica, e che ne determina le caratteristiche e le proprietà.</s>"
111,"fusto, infame, auto, quotidiano, termometro",colonna,"1. Fusto: La colonna del fusto è un aspetto importante della struttura di un albero, e che si riferisce alla sua forma e alla sua resistenza.
2. Infame: La colonna infame è un simbolo della giustizia e della punizione, che si riferisce a un palo o a una colonna su cui venivano esposti i condannati a morte o i criminali.
3. Auto: La colonna di sterzo è un componente importante dell'auto, che si riferisce al meccanismo che permette di sterzare e di guidare l'auto.
4. Quotidiano: La colonna del quotidiano è un'espressione che si utilizza per indicare la sezione dedicata alle notizie o agli articoli di un giornale, e che è nota per la sua regolarità e per la sua periodicità.
5. Termometro: La colonna del termometro è un aspetto importante della misurazione della temperatura, e che si riferisce alla colonna di mercurio o di alcool che si muove all'interno del termometro, e che indica la temperatura esterna o interna.</s>"
112,"sabato, fuori, quarto, critica, finale",fase,"1. Sabato: La fase finale del sabato è un'espressione che si utilizza per indicare la fase finale di un evento o di una competizione che si svolge il sabato, e che è nota per la sua importanza e per la sua rilevanza.
2. Fuori: La fase esterna è un aspetto importante della struttura di un oggetto, e che si riferisce alla sua forma e alla sua resistenza esterna.
3. Quarto: La fase quarta è un aspetto importante della gravidanza, e che si riferisce al quarto mese di gravidanza, durante il quale si verificano importanti cambiamenti nel feto e nella madre.
4. Critica: La fase critica è un aspetto importante della valutazione di un prodotto o di un servizio, e che si riferisce alla fase in cui si valuta la qualità e la validità del prodotto o del servizio, e in cui si prendono decisioni importanti sulla sua produzione o sulla sua commercializzazione.
5. Finale: La fase finale è un aspetto importante di un evento o di una competizione, e che si riferisce alla fase in cui si svolgono le partite o le gare più importanti, e in cui si determina il vincitore o il campione. La fase finale è nota per la sua eccitazione e per la sua suspense, e che ne determina l'esito e il risultato finale.</s>"
113,"allegria, ufficiale, suono, bene, prendere",nota,"1. Allegria: La nota allegra è un'espressione che si utilizza per indicare una nota musicale che produce allegria o gioia, e che è nota per la sua melodia e per il suo ritmo.
2. Ufficiale: La nota ufficiale è un documento che si utilizza per comunicare una decisione o un avviso importante, e che è noto per la sua autorevolezza e per la sua serietà.
3. Suono: La nota sonora è un aspetto importante del suono, e che si riferisce alla frequenza o all'altezza del suono, e che ne determina la qualità e la chiarezza.
4. Bene: La nota bene è un'espressione che si utilizza per indicare un avviso o un monito importante, e che è noto per la sua importanza e per la sua rilevanza.
5. Prendere: La nota da prendere è un'espressione che si utilizza per indicare un appunto o un promemoria che si deve prendere, e che è noto per la sua importanza e per la sua utilità. La nota da prendere può riguardare un appuntamento, un impegno o un'informazione importante, e che ne determina la memoria e la conservazione.</s>"
114,"moto, forza, livello, vecchio, nero",mare,"1. Moto: Il moto ondoso è un aspetto importante del mare, e che si riferisce al movimento delle onde e al loro andamento, e che ne determina la forza e la potenza.
2. Forza: La forza del mare è un aspetto importante della sua potenza e della sua capacità di influenzare il clima e l'ambiente, e che si riferisce alla sua energia e alla sua resistenza.
3. Livello: Il livello del mare è un aspetto importante della sua altezza e della sua profondità, e che si riferisce alla sua misura e alla sua misurazione, e che ne determina la sua variazione e la sua evoluzione.
4. Vecchio: Il mare vecchio è un'espressione che si utilizza per indicare un mare antico o primordiale, e che è noto per la sua storia e per la sua tradizione.
5. Nero: Il mare nero è un mare che si trova tra l'Europa e l'Asia, e che è noto per la sua profondità e per la sua oscurità, e che ne determina la sua bellezza e la sua misteriosità. Il mare nero è anche un simbolo della storia e della cultura dell'Europa orientale, e che ne determina la sua importanza e la sua rilevanza.</s>"
